"","Duration","LR_Scale","DataSet","Mem","pH","pH_Var","LR"
"1",1953,"-.01","GISTEMP","M = 3",0.00999999999999983,2.83425219700005e-32,1.3182567385564
"2",1953.16666666667,"-.01","GISTEMP","M = 3",0.0135962616885661,2.83425219700005e-32,1.36458313658893
"3",1953.33333333333,"-.01","GISTEMP","M = 3",0.0184617152938729,4.34972916618989e-33,1.36458313658893
"4",1953.5,"-.01","GISTEMP","M = 3",0.025024112314914,5.40884604626771e-32,1.36458313658893
"5",1953.66666666667,"-.01","GISTEMP","M = 3",0.0338387581835104,1.1571966457642e-31,1.36458313658893
"6",1953.83333333333,"-.01","GISTEMP","M = 3",0.0456130685024689,1.39287726208186e-32,1.36458313658893
"7",1954,"-.01","GISTEMP","M = 3",0.0612246727431103,1.29629158619217e-30,1.36458313658893
"8",1954.16666666667,"-.01","GISTEMP","M = 3",0.0573726415104845,1.04147698118778e-30,0.933254300796989
"9",1954.33333333333,"-.01","GISTEMP","M = 3",0.0537490899705588,5.24859286646071e-32,0.933254300796989
"10",1954.5,"-.01","GISTEMP","M = 3",0.0503421729610731,4.53480351520008e-31,0.933254300796989
"11",1954.66666666667,"-.01","GISTEMP","M = 3",0.0471404471532542,6.26360999931344e-31,0.933254300796989
"12",1954.83333333333,"-.01","GISTEMP","M = 3",0.0441328857345437,9.44650323072818e-31,0.933254300796989
"13",1955,"-.01","GISTEMP","M = 3",0.0413088881971929,1.56590249982836e-31,0.933254300796989
"14",1955.16666666667,"-.01","GISTEMP","M = 3",0.0330939851190166,2.3327079406492e-32,0.794328234724276
"15",1955.33333333333,"-.01","GISTEMP","M = 3",0.0264676387185672,6.42097139241715e-32,0.794328234724276
"16",1955.5,"-.01","GISTEMP","M = 3",0.0211390663340655,2.09943714658428e-31,0.794328234724276
"17",1955.66666666667,"-.01","GISTEMP","M = 3",0.0168646799672381,2.02545560342527e-32,0.794328234724276
"18",1955.83333333333,"-.01","GISTEMP","M = 3",0.0134427187271479,8.50185290765537e-32,0.794328234724276
"19",1956,"-.01","GISTEMP","M = 3",0.0107075350976659,5.32841822858262e-32,0.794328234724276
"20",1956.16666666667,"-.01","GISTEMP","M = 3",0.0102305469223028,2.71858072886868e-32,0.95499258602146
"21",1956.33333333333,"-.01","GISTEMP","M = 3",0.00977459717951664,8.46148838492202e-33,0.95499258602146
"22",1956.5,"-.01","GISTEMP","M = 3",0.00933877623946802,3.90391204943359e-33,0.95499258602146
"23",1956.66666666667,"-.01","GISTEMP","M = 3",0.00892221220340631,6.09986257723998e-33,0.95499258602146
"24",1956.83333333333,"-.01","GISTEMP","M = 3",0.0085240694790753,3.64485615726438e-34,0.95499258602146
"25",1957,"-.01","GISTEMP","M = 3",0.00814354739727026,2.17637072200291e-32,0.95499258602146
"26",1957.16666666667,"-.01","GISTEMP","M = 3",0.0104663528403817,6.95956666590383e-32,1.28824955169314
"27",1957.33333333333,"-.01","GISTEMP","M = 3",0.0134427187271479,8.10182241370106e-32,1.28824955169314
"28",1957.5,"-.01","GISTEMP","M = 3",0.0172507322420469,6.59809332799331e-32,1.28824955169314
"29",1957.66666666667,"-.01","GISTEMP","M = 3",0.0221132893955084,3.08457248350308e-33,1.28824955169314
"30",1957.83333333333,"-.01","GISTEMP","M = 3",0.0283070021923708,9.54410103196402e-32,1.28824955169314
"31",1958,"-.01","GISTEMP","M = 3",0.0361713435051741,4.33768005492621e-32,1.28824955169314
"32",1958.16666666667,"-.01","GISTEMP","M = 3",0.0508954391230553,3.81764041278561e-31,1.42889395851109
"33",1958.33333333333,"-.01","GISTEMP","M = 3",0.0711706200653247,4.44178437624444e-31,1.42889395851109
"34",1958.5,"-.01","GISTEMP","M = 3",0.0986830049494924,1.39287726208186e-30,1.42889395851109
