"","Duration","Sci_LR_Scale","Den_LR_Scale","Sci_DataSet","Den_DataSet","Sci_Mem","Den_Mem","Com_Form","Den_Prop","Agent","Agent_pH","Agent_pH_Var"
"1",1953,"0 (Neutral)",".015 (Biased)","GISTEMP","HadCRUT","15","3","Proportionate","3% Contrarian","Scientist",0.00999999999999983,2.83433994474608e-32
"2",1953.16666666667,"0 (Neutral)",".015 (Biased)","GISTEMP","HadCRUT","15","3","Proportionate","3% Contrarian","Scientist",0.0132908863670748,4.85865330734505e-32
"3",1953.33333333333,"0 (Neutral)",".015 (Biased)","GISTEMP","HadCRUT","15","3","Proportionate","3% Contrarian","Scientist",0.0176574794725029,4.70470283598177e-09
"4",1953.5,"0 (Neutral)",".015 (Biased)","GISTEMP","HadCRUT","15","3","Proportionate","3% Contrarian","Scientist",0.0234250129258694,1.65321463186588e-08
"5",1953.66666666667,"0 (Neutral)",".015 (Biased)","GISTEMP","HadCRUT","15","3","Proportionate","3% Contrarian","Scientist",0.0310165045017775,4.27305787340031e-08
"6",1953.83333333333,"0 (Neutral)",".015 (Biased)","GISTEMP","HadCRUT","15","3","Proportionate","3% Contrarian","Scientist",0.0409648362526306,9.73464643976264e-08
"7",1954,"0 (Neutral)",".015 (Biased)","GISTEMP","HadCRUT","15","3","Proportionate","3% Contrarian","Scientist",0.0539265585033799,2.04420274189103e-07
"8",1954.16666666667,"0 (Neutral)",".015 (Biased)","GISTEMP","HadCRUT","15","3","Proportionate","3% Contrarian","Scientist",0.056693169708053,2.24586598390615e-07
"9",1954.33333333333,"0 (Neutral)",".015 (Biased)","GISTEMP","HadCRUT","15","3","Proportionate","3% Contrarian","Scientist",0.0593737317963686,1.83266017691242e-06
"10",1954.5,"0 (Neutral)",".015 (Biased)","GISTEMP","HadCRUT","15","3","Proportionate","3% Contrarian","Scientist",0.0621685994324863,3.75252318084246e-06
"11",1954.66666666667,"0 (Neutral)",".015 (Biased)","GISTEMP","HadCRUT","15","3","Proportionate","3% Contrarian","Scientist",0.065092001579212,5.97312384711415e-06
"12",1954.83333333333,"0 (Neutral)",".015 (Biased)","GISTEMP","HadCRUT","15","3","Proportionate","3% Contrarian","Scientist",0.0681350740329055,8.59759955944769e-06
"13",1955,"0 (Neutral)",".015 (Biased)","GISTEMP","HadCRUT","15","3","Proportionate","3% Contrarian","Scientist",0.0712982258251198,1.16850500742486e-05
"14",1955.16666666667,"0 (Neutral)",".015 (Biased)","GISTEMP","HadCRUT","15","3","Proportionate","3% Contrarian","Scientist",0.0709939503046398,1.15922929072623e-05
"15",1955.33333333333,"0 (Neutral)",".015 (Biased)","GISTEMP","HadCRUT","15","3","Proportionate","3% Contrarian","Scientist",0.0701360910182092,2.13223975036849e-05
"16",1955.5,"0 (Neutral)",".015 (Biased)","GISTEMP","HadCRUT","15","3","Proportionate","3% Contrarian","Scientist",0.0692802916296937,3.08001812856321e-05
"17",1955.66666666667,"0 (Neutral)",".015 (Biased)","GISTEMP","HadCRUT","15","3","Proportionate","3% Contrarian","Scientist",0.0684330593830224,3.9946664058205e-05
"18",1955.83333333333,"0 (Neutral)",".015 (Biased)","GISTEMP","HadCRUT","15","3","Proportionate","3% Contrarian","Scientist",0.0675928184067888,4.86284597343587e-05
"19",1956,"0 (Neutral)",".015 (Biased)","GISTEMP","HadCRUT","15","3","Proportionate","3% Contrarian","Scientist",0.0667745501772066,5.66408529867858e-05
"20",1956.16666666667,"0 (Neutral)",".015 (Biased)","GISTEMP","HadCRUT","15","3","Proportionate","3% Contrarian","Scientist",0.0643189879473868,5.27701276244715e-05
"21",1956.33333333333,"0 (Neutral)",".015 (Biased)","GISTEMP","HadCRUT","15","3","Proportionate","3% Contrarian","Scientist",0.061752515289022,5.010115131694e-05
"22",1956.5,"0 (Neutral)",".015 (Biased)","GISTEMP","HadCRUT","15","3","Proportionate","3% Contrarian","Scientist",0.0592808226058879,4.75494281135458e-05
"23",1956.66666666667,"0 (Neutral)",".015 (Biased)","GISTEMP","HadCRUT","15","3","Proportionate","3% Contrarian","Scientist",0.056904404777448,4.51013978850502e-05
"24",1956.83333333333,"0 (Neutral)",".015 (Biased)","GISTEMP","HadCRUT","15","3","Proportionate","3% Contrarian","Scientist",0.0546150904299479,4.27601922645074e-05
"25",1957,"0 (Neutral)",".015 (Biased)","GISTEMP","HadCRUT","15","3","Proportionate","3% Contrarian","Scientist",0.0524153700414539,4.05134011695284e-05
"26",1957.16666666667,"0 (Neutral)",".015 (Biased)","GISTEMP","HadCRUT","15","3","Proportionate","3% Contrarian","Scientist",0.0531962196929857,4.16741877199227e-05
"27",1957.33333333333,"0 (Neutral)",".015 (Biased)","GISTEMP","HadCRUT","15","3","Proportionate","3% Contrarian","Scientist",0.0543061017412191,4.66930912435313e-05
"28",1957.5,"0 (Neutral)",".015 (Biased)","GISTEMP","HadCRUT","15","3","Proportionate","3% Contrarian","Scientist",0.0554436131722584,5.22032051287791e-05
"29",1957.66666666667,"0 (Neutral)",".015 (Biased)","GISTEMP","HadCRUT","15","3","Proportionate","3% Contrarian","Scientist",0.0566076860838334,5.79627634660796e-05
"30",1957.83333333333,"0 (Neutral)",".015 (Biased)","GISTEMP","HadCRUT","15","3","Proportionate","3% Contrarian","Scientist",0.0577992123726352,6.43412940916099e-05
"31",1958,"0 (Neutral)",".015 (Biased)","GISTEMP","HadCRUT","15","3","Proportionate","3% Contrarian","Scientist",0.0590067203172421,7.10623231772479e-05
"32",1958.16666666667,"0 (Neutral)",".015 (Biased)","GISTEMP","HadCRUT","15","3","Proportionate","3% Contrarian","Scientist",0.0614547099441991,7.67079855875742e-05
"33",1958.33333333333,"0 (Neutral)",".015 (Biased)","GISTEMP","HadCRUT","15","3","Proportionate","3% Contrarian","Scientist",0.0646624559705319,9.82313560058347e-05
"34",1958.5,"0 (Neutral)",".015 (Biased)","GISTEMP","HadCRUT","15","3","Proportionate","3% Contrarian","Scientist",0.0680039909945697,0.000123076771813854
"35",1958.66666666667,"0 (Neutral)",".015 (Biased)","GISTEMP","HadCRUT","15","3","Proportionate","3% Contrarian","Scientist",0.0715100175300864,0.00015224340927828
"36",1958.83333333333,"0 (Neutral)",".015 (Biased)","GISTEMP","HadCRUT","15","3","Proportionate","3% Contrarian","Scientist",0.0751742432333947,0.000185509742429753
"37",1959,"0 (Neutral)",".015 (Biased)","GISTEMP","HadCRUT","15","3","Proportionate","3% Contrarian","Scientist",0.079021990409184,0.000223262525948154
"38",1959.16666666667,"0 (Neutral)",".015 (Biased)","GISTEMP","HadCRUT","15","3","Proportionate","3% Contrarian","Scientist",0.0823993475984392,0.000240715822011363
"39",1959.33333333333,"0 (Neutral)",".015 (Biased)","GISTEMP","HadCRUT","15","3","Proportionate","3% Contrarian","Scientist",0.085864884838636,0.000259196681042085
"40",1959.5,"0 (Neutral)",".015 (Biased)","GISTEMP","HadCRUT","15","3","Proportionate","3% Contrarian","Scientist",0.0894620188768005,0.000278846190673651
