"","Duration","LR_Scale","DataSet","Sci_Mem","Sci_pH","Sci_pH_Var"
"1",1953,"0 (Neutral)","GISTEMP","3",0.00999999999999983,2.83425219700005e-32
"2",1953.16666666667,"0 (Neutral)","GISTEMP","3",0.0132908863670748,5.57150904832744e-32
"3",1953.33333333333,"0 (Neutral)","GISTEMP","3",0.01764546309432,2.12546322691384e-32
"4",1953.5,"0 (Neutral)","GISTEMP","3",0.0233929325309044,2.43994503089599e-32
"5",1953.66666666667,"0 (Neutral)","GISTEMP","3",0.0309534764943997,2.89299161441051e-32
"6",1953.83333333333,"0 (Neutral)","GISTEMP","3",0.0408553480804742,3.40074116306215e-31
"7",1954,"0 (Neutral)","GISTEMP","3",0.0537490899705588,5.57150904832744e-32
"8",1954.16666666667,"0 (Neutral)","GISTEMP","3",0.0492526852205892,7.89650555776789e-31
"9",1954.33333333333,"0 (Neutral)","GISTEMP","3",0.0451144955878108,2.93227171713012e-31
"10",1954.5,"0 (Neutral)","GISTEMP","3",0.0413088881971929,1.79338972048671e-31
"11",1954.66666666667,"0 (Neutral)","GISTEMP","3",0.0378115888803878,4.25863788503644e-31
"12",1954.83333333333,"0 (Neutral)","GISTEMP","3",0.0345996924338081,1.01983677735821e-31
"13",1955,"0 (Neutral)","GISTEMP","3",0.0316516547691916,3.1621687600412e-31
"14",1955.16666666667,"0 (Neutral)","GISTEMP","3",0.0247447517705659,1.92785780218943e-34
"15",1955.33333333333,"0 (Neutral)","GISTEMP","3",0.019314983668263,9.54410103196402e-32
"16",1955.5,"0 (Neutral)","GISTEMP","3",0.0150582789987435,1.06465947125911e-31
"17",1955.66666666667,"0 (Neutral)","GISTEMP","3",0.011728462754805,2.17637072200291e-32
"18",1955.83333333333,"0 (Neutral)","GISTEMP","3",0.0091281401674747,3.01227781592098e-32
"19",1956,"0 (Neutral)","GISTEMP","3",0.00710019426049602,2.44672265598181e-33
"20",1956.16666666667,"0 (Neutral)","GISTEMP","3",0.00662942856555843,1.41343605817552e-32
"21",1956.33333333333,"0 (Neutral)","GISTEMP","3",0.00618968156711206,6.37397985848879e-33
"22",1956.5,"0 (Neutral)","GISTEMP","3",0.00577893442097045,1.03095208249895e-33
"23",1956.66666666667,"0 (Neutral)","GISTEMP","3",0.00539529647085413,7.53069453980244e-35
"24",1956.83333333333,"0 (Neutral)","GISTEMP","3",0.00503699752295902,8.62189217861982e-33
"25",1957,"0 (Neutral)","GISTEMP","3",0.00470238053196672,1.60524284810429e-32
"26",1957.16666666667,"0 (Neutral)","GISTEMP","3",0.00591274718876537,9.11214039316096e-33
"27",1957.33333333333,"0 (Neutral)","GISTEMP","3",0.0074323290871907,2.49446725936416e-32
"28",1957.5,"0 (Neutral)","GISTEMP","3",0.00933877623946802,6.37397985848879e-33
